2024-09-06 16:03:19,646 | DEBUG    | 0022 | Chargement des dépendances
2024-09-06 16:03:19,646 | INFO     | 0023 | Chargement des dépendances
2024-09-06 16:03:19,646 | WARNING  | 0024 | Chargement des dépendances
2024-09-06 16:03:19,647 | ERROR    | 0025 | Chargement des dépendances
2024-09-06 16:03:19,647 | CRITICAL | 0026 | Chargement des dépendances
2024-09-06 16:03:19,658 | DEBUG    | 0022 | Démarrage Traqueur-fdr
2024-09-06 16:03:19,659 | INFO     | 0023 | Démarrage Traqueur-fdr
2024-09-06 16:03:19,659 | WARNING  | 0024 | Démarrage Traqueur-fdr
2024-09-06 16:03:19,659 | ERROR    | 0025 | Démarrage Traqueur-fdr
2024-09-06 16:03:19,659 | CRITICAL | 0026 | Démarrage Traqueur-fdr
2024-09-06 16:03:19,681 | DEBUG    | 0022 | Création de l'arborescence DATA
2024-09-06 16:03:19,681 | INFO     | 0023 | Création de l'arborescence DATA
2024-09-06 16:03:19,681 | WARNING  | 0024 | Création de l'arborescence DATA
2024-09-06 16:03:19,681 | ERROR    | 0025 | Création de l'arborescence DATA
2024-09-06 16:03:19,681 | CRITICAL | 0026 | Création de l'arborescence DATA
2024-09-06 16:03:19,716 | DEBUG    | 0022 | Création de l'arborescence DIR
2024-09-06 16:03:19,716 | INFO     | 0023 | Création de l'arborescence DIR
2024-09-06 16:03:19,716 | WARNING  | 0024 | Création de l'arborescence DIR
2024-09-06 16:03:19,716 | ERROR    | 0025 | Création de l'arborescence DIR
2024-09-06 16:03:19,716 | CRITICAL | 0026 | Création de l'arborescence DIR
2024-09-06 16:03:19,720 | DEBUG    | 0022 | Organisation des widgets
2024-09-06 16:03:19,720 | INFO     | 0023 | Organisation des widgets
2024-09-06 16:03:19,720 | WARNING  | 0024 | Organisation des widgets
2024-09-06 16:03:19,720 | ERROR    | 0025 | Organisation des widgets
2024-09-06 16:03:19,720 | CRITICAL | 0026 | Organisation des widgets
2024-09-06 16:03:19,732 | DEBUG    | 0022 | Création des boites à outils
2024-09-06 16:03:19,732 | INFO     | 0023 | Création des boites à outils
2024-09-06 16:03:19,732 | WARNING  | 0024 | Création des boites à outils
2024-09-06 16:03:19,732 | ERROR    | 0025 | Création des boites à outils
2024-09-06 16:03:19,732 | CRITICAL | 0026 | Création des boites à outils
2024-09-06 16:03:19,734 | DEBUG    | 0022 | Création du menu
2024-09-06 16:03:19,734 | INFO     | 0023 | Création du menu
2024-09-06 16:03:19,734 | WARNING  | 0024 | Création du menu
2024-09-06 16:03:19,734 | ERROR    | 0025 | Création du menu
2024-09-06 16:03:19,734 | CRITICAL | 0026 | Création du menu
2024-09-06 16:03:19,739 | DEBUG    | 0022 | Création de la barre de status
2024-09-06 16:03:19,739 | INFO     | 0023 | Création de la barre de status
2024-09-06 16:03:19,739 | WARNING  | 0024 | Création de la barre de status
2024-09-06 16:03:19,739 | ERROR    | 0025 | Création de la barre de status
2024-09-06 16:03:19,739 | CRITICAL | 0026 | Création de la barre de status
2024-09-06 16:03:19,741 | DEBUG    | 0022 | Création des éléments fonctionnels du programme
2024-09-06 16:03:19,741 | INFO     | 0023 | Création des éléments fonctionnels du programme
2024-09-06 16:03:19,742 | WARNING  | 0024 | Création des éléments fonctionnels du programme
2024-09-06 16:03:19,742 | ERROR    | 0025 | Création des éléments fonctionnels du programme
2024-09-06 16:03:19,742 | CRITICAL | 0026 | Création des éléments fonctionnels du programme
2024-09-06 16:03:19,744 | DEBUG    | 0022 | Application du style
2024-09-06 16:03:19,744 | INFO     | 0023 | Application du style
2024-09-06 16:03:19,744 | WARNING  | 0024 | Application du style
2024-09-06 16:03:19,744 | ERROR    | 0025 | Application du style
2024-09-06 16:03:19,744 | CRITICAL | 0026 | Application du style
